@relation 'parsejson'
@attribute probe_id numeric
% ping.py
@attribute ping_min numeric %% minimum ping RTT
@attribute ping_from string %% ping source IP
@attribute ping_asn numeric %% source ASN
@attribute ping_net string  %% source network name
% traceroute.py
@attribute tr_hopcount numeric %% number of public-ip hops to target
@attribute tr_aslen numeric    %% number of distinct ASes on the path
@attribute tr_exit_rtt numeric %% exit AS: max. RTT
@attribute tr_exit_asn numeric %% exit AS: last known ASN before target
@attribute tr_exit_net string  %% exit AS: network name
% ipv6.py
@attribute ipv6_rt numeric    %% response time
@attribute ipv6_size numeric  %% response size
@attribute ipv6_flags numeric %% header bit flags (decimal)
@attribute ipv6_rcode numeric %% response code
@attribute ipv6_rdata string  %% rdata of first reply
% qname.py
@attribute qname_rt numeric   %% reply time
@attribute qname_size numeric %% size of the reply
@attribute qname_ok numeric   %% 1 if letter case ok
@attribute qname_rdata string %% rdata of first reply
% tcp.py
@attribute tcp_rt numeric      %% reply time
@attribute tcp_size numeric    %% size of the reply
@attribute tcp_flags numeric   %% header bit flags (decimal)
@attribute tcp_rcode numeric   %% response code
% hostname.py
@attribute hostname_rt numeric    %% response time
@attribute hostname_size numeric  %% response size
@attribute hostname_flags numeric %% header bit flags (decimal)
@attribute hostname_rcode numeric %% response code
@attribute hostname_resp string   %% rdata of first answer
% version.py
@attribute version_rt numeric    %% response time
@attribute version_size numeric  %% response size
@attribute version_flags numeric %% header bit flags (decimal)
@attribute version_rcode numeric %% response code
@attribute version_resp string   %% rdata of first answer
% serverid.py
@attribute serverid_rt numeric    %% response time
@attribute serverid_size numeric  %% response size
@attribute serverid_flags numeric %% header bit flags (decimal)
@attribute serverid_rcode numeric %% response code
@attribute serverid_resp string   %% rdata of first answer
% dsfail.py
@attribute dsfail_rt numeric    %% response time
@attribute dsfail_size numeric  %% response size
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_rdata string  %% rdata of first reply
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
@attribute dnskey_qcount numeric %% query count
@attribute dnskey_acount numeric %% answer count
@attribute dnskey_nscount numeric %% authority count
@attribute dnskey_arcount numeric %% additional count
% nxdomain.py
@attribute nxd_rt numeric    %% response time
@attribute nxd_size numeric  %% response size
@attribute nxd_flags numeric %% header bit flags (decimal)
@attribute nxd_rcode numeric %% response code
@attribute nxd_rdata string  %% rdata of first answer
@attribute nxd_asn numeric   %% answer ASN
@attribute nxd_name string   %% answer network name
% whoami.py
@attribute whoami_rt numeric  %% response time
@attribute whoami_ip string   %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
@attribute whoami_net string  %% resolver network name
% whoami2.py
@attribute whoami2_rt numeric  %% response time
@attribute whoami2_ip string   %% resolver ip address
@attribute whoami2_asn numeric %% resolver asn
@attribute whoami2_net string  %% resolver network name
% ground truth
@attribute hijacked {0,1}
@data
1388,16.8,80.147.245.40,3320,DEUTSCHE_TELEKOM_AG,7,2,16.3,3320,DEUTSCHE_TELEKOM_AG,83.3,74,33152,0,2607:f740:d::f77,64.8,46,1,31.13.92.36,124.7,46,33152,0,68.8,31,33154,2,?,63.9,30,33154,2,?,80.4,38,33154,2,?,65.9,35,32898,2,?,85.3,31,33664,0,1,0,0,1,108.4,133,33155,3,?,-1,?,65.3,74.125.47.9,15169,GOOGLE_INC,86.8,74.125.47.134,15169,GOOGLE_INC,0
1496,11.9,178.250.210.95,24904,KNET_SARL,5,2,11.4,24904,KNET_SARL,69.6,74,33152,0,2607:f740:d::f77,59.4,46,1,31.13.91.36,115.5,46,33152,0,75.9,31,33154,2,?,58.6,30,33154,2,?,71.1,38,33154,2,?,60.6,35,32898,2,?,72.0,31,33664,0,1,0,0,1,85.1,133,33155,3,?,-1,?,70.9,74.125.47.141,15169,GOOGLE_INC,70.1,74.125.47.148,15169,GOOGLE_INC,0
2561,20.8,82.95.204.195,3265,XS4ALL_INTERNET_BV,10,3,17.5,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,75.1,74,33152,0,2607:f740:d::f77,70.4,46,1,31.13.64.35,138.1,46,33152,0,68.7,31,33154,2,?,80.0,30,33154,2,?,81.1,38,33154,2,?,71.3,35,32898,2,?,76.7,31,33664,0,1,0,0,1,97.9,133,33155,3,?,-1,?,90.5,74.125.47.11,15169,GOOGLE_INC,86.9,74.125.47.15,15169,GOOGLE_INC,0
2762,126.7,109.177.52.123,5384,EMIRATES_TELECOMMUNICATIONS_CORPORATION,11,2,9.4,8966,EMIRATES_TELECOMMUNICATIONS_CORPORATION,182.3,74,33152,0,2607:f740:d::f77,184.2,46,1,157.240.20.35,335.2,46,33152,0,175.2,31,33154,2,?,169.2,30,33154,2,?,178.8,38,33154,2,?,176.8,35,32898,2,?,178.4,31,33664,0,1,0,0,1,192.3,133,33155,3,?,-1,?,177.5,74.125.47.145,15169,GOOGLE_INC,187.2,74.125.47.10,15169,GOOGLE_INC,0
3414,23.6,84.157.187.78,3320,DEUTSCHE_TELEKOM_AG,9,2,17.4,3320,DEUTSCHE_TELEKOM_AG,76.5,74,33152,0,2607:f740:d::f77,80.2,46,1,31.13.92.36,143.1,46,33152,0,124.2,31,33154,2,?,79.8,30,33154,2,?,82.7,38,33154,2,?,74.7,35,32898,2,?,80.3,31,33664,0,1,0,0,1,107.7,133,33155,3,?,-1,?,84.4,74.125.47.3,15169,GOOGLE_INC,95.8,173.194.169.9,15169,GOOGLE_INC,0
3947,2.2,128.9.160.18,4,UNIVERSITY_OF_SOUTHERN_CALIFORNIA,7,3,2.5,226,LOS_NETTOS,90.1,74,33152,0,2607:f740:d::f77,54.2,46,1,31.13.77.36,112.3,46,33152,0,55.6,31,33154,2,?,54.2,30,33154,2,?,72.4,38,33154,2,?,56.3,35,32898,2,?,82.7,31,33664,0,1,0,0,1,96.5,133,33155,3,?,-1,?,76.3,74.125.80.3,15169,GOOGLE_INC,242.4,74.125.80.66,15169,GOOGLE_INC,0
4190,6.7,185.127.109.34,203623,ZEROSPACE_ICT_SERVICES_BV,8,3,4.3,174,COGENT_COMMUNICATIONS,61.4,74,33152,0,2607:f740:d::f77,55.3,46,1,157.240.20.35,113.0,46,33152,0,55.2,31,33154,2,?,54.8,30,33154,2,?,68.3,38,33154,2,?,57.3,35,32898,2,?,421.0,31,33664,0,1,0,0,1,83.9,133,33155,3,?,-1,?,65.1,74.125.47.143,15169,GOOGLE_INC,66.2,173.194.169.101,15169,GOOGLE_INC,0
6229,3.0,192.172.226.235,195,SAN_DIEGO_SUPERCOMPUTER_CENTER,9,3,3.1,2152,CALIFORNIA_STATE_UNIVERSITY_OFFICE_OF_THE_CHANCELLOR,27.6,74,33152,0,2607:f740:d::f77,3.3,46,1,31.13.77.36,6.5,46,33152,0,3.3,31,33154,2,?,3.5,30,33154,2,?,3.3,38,33154,2,?,3.3,35,32898,2,?,28.0,31,33664,0,1,0,0,1,36.8,133,33155,3,?,-1,?,3.4,74.125.186.74,15169,GOOGLE_INC,28.3,74.125.80.15,15169,GOOGLE_INC,0
10545,20.9,69.245.131.22,7922,COMCAST_CABLE_COMMUNICATIONS_LLC,13,2,13.3,7922,COMCAST_CABLE_COMMUNICATIONS_LLC,24.0,74,33152,0,2607:f740:d::f77,22.3,46,1,157.240.18.35,45.4,46,33152,0,23.2,31,33154,2,?,22.7,30,33154,2,?,23.3,38,33154,2,?,23.5,35,32898,2,?,23.6,31,33664,0,1,0,0,1,35.7,134,33155,3,?,-1,?,23.7,173.194.94.140,15169,GOOGLE_INC,24.0,173.194.94.134,15169,GOOGLE_INC,0
11222,16.7,84.193.42.155,6848,TELENET_BVBA,13,3,15.3,1299,TELIA_COMPANY_AB,20.2,74,33152,0,2607:f740:d::f77,18.3,46,1,31.13.64.35,41.8,46,33152,0,20.0,31,33154,2,?,20.5,30,33154,2,?,21.8,38,33154,2,?,18.3,35,32898,2,?,19.6,31,33664,0,1,0,0,1,31.8,134,33155,3,?,-1,?,20.1,173.194.170.75,15169,GOOGLE_INC,72.1,173.194.169.9,15169,GOOGLE_INC,0
