@relation 'parsejson'
@attribute probe_id numeric
% ping.py
@attribute ping_min numeric %% minimum ping RTT
@attribute ping_from string %% ping source IP
@attribute ping_asn numeric %% source ASN
@attribute ping_net string  %% source network name
% traceroute.py
@attribute tr_hopcount numeric %% number of public-ip hops to target
@attribute tr_aslen numeric    %% number of distinct ASes on the path
@attribute tr_exit_rtt numeric %% exit AS: max. RTT
@attribute tr_exit_asn numeric %% exit AS: last known ASN before target
@attribute tr_exit_net string  %% exit AS: network name
% ipv6.py
@attribute ipv6_rt numeric    %% response time
@attribute ipv6_size numeric  %% response size
@attribute ipv6_flags numeric %% header bit flags (decimal)
@attribute ipv6_rcode numeric %% response code
@attribute ipv6_rdata string  %% rdata of first reply
% qname.py
@attribute qname_rt numeric   %% reply time
@attribute qname_size numeric %% size of the reply
@attribute qname_ok numeric   %% 1 if letter case ok
@attribute qname_rdata string %% rdata of first reply
% tcp.py
@attribute tcp_rt numeric      %% reply time
@attribute tcp_size numeric    %% size of the reply
@attribute tcp_flags numeric   %% header bit flags (decimal)
@attribute tcp_rcode numeric   %% response code
% hostname.py
@attribute hostname_rt numeric    %% response time
@attribute hostname_size numeric  %% response size
@attribute hostname_flags numeric %% header bit flags (decimal)
@attribute hostname_rcode numeric %% response code
@attribute hostname_resp string   %% rdata of first answer
% version.py
@attribute version_rt numeric    %% response time
@attribute version_size numeric  %% response size
@attribute version_flags numeric %% header bit flags (decimal)
@attribute version_rcode numeric %% response code
@attribute version_resp string   %% rdata of first answer
% serverid.py
@attribute serverid_rt numeric    %% response time
@attribute serverid_size numeric  %% response size
@attribute serverid_flags numeric %% header bit flags (decimal)
@attribute serverid_rcode numeric %% response code
@attribute serverid_resp string   %% rdata of first answer
% dsfail.py
@attribute dsfail_rt numeric    %% response time
@attribute dsfail_size numeric  %% response size
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_rdata string  %% rdata of first reply
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
@attribute dnskey_qcount numeric %% query count
@attribute dnskey_acount numeric %% answer count
@attribute dnskey_nscount numeric %% authority count
@attribute dnskey_arcount numeric %% additional count
% nxdomain.py
@attribute nxd_rt numeric    %% response time
@attribute nxd_size numeric  %% response size
@attribute nxd_flags numeric %% header bit flags (decimal)
@attribute nxd_rcode numeric %% response code
@attribute nxd_rdata string  %% rdata of first answer
@attribute nxd_asn numeric   %% answer ASN
@attribute nxd_name string   %% answer network name
% whoami.py
@attribute whoami_rt numeric  %% response time
@attribute whoami_ip string   %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
@attribute whoami_net string  %% resolver network name
% whoami2.py
@attribute whoami2_rt numeric  %% response time
@attribute whoami2_ip string   %% resolver ip address
@attribute whoami2_asn numeric %% resolver asn
@attribute whoami2_net string  %% resolver network name
% ground truth
@attribute hijacked {0,1}
@data
2085,27.6,83.215.157.231,8445,SALZBURG_AG_FUR_ENERGIE_VERKEHR_UND_TELEKOMMUNIKATION,8,3,22.9,3356,LEVEL_3_COMMUNICATIONS_INC,80.3,74,33152,0,2607:f740:d::f77,70.9,46,1,31.13.91.36,139.6,46,33152,0,70.1,31,33157,5,?,70.6,30,33157,5,?,83.4,27,33157,5,?,72.4,35,32898,2,?,78.7,316,33664,0,1,2,0,0,128.8,136,33155,3,?,-1,?,477.5,208.69.35.21,36692,OPENDNS_LLC,101.5,208.69.34.19,36692,OPENDNS_LLC,0
2405,14.6,94.251.234.3,21021,MULTIMEDIA_POLSKA_SA,7,3,14.6,21021,MULTIMEDIA_POLSKA_SA,880.2,74,33152,0,2607:f740:d::f77,61.0,46,1,185.60.216.35,124.0,46,33152,0,61.4,31,33157,5,?,61.6,30,33157,5,?,74.4,27,33157,5,?,63.8,51,32896,0,69.252.80.75,70.6,316,33664,0,1,2,0,0,133.5,136,33155,3,?,-1,?,66.0,185.60.87.13,36692,OPENDNS_LLC,102.8,185.60.87.14,36692,OPENDNS_LLC,0
3414,26.3,84.157.187.78,3320,DEUTSCHE_TELEKOM_AG,6,3,27.3,3257,GTT_COMMUNICATIONS_INC,84.7,74,33152,0,2607:f740:d::f77,76.0,46,1,185.60.216.35,147.3,46,33152,0,104.1,31,33157,5,?,75.8,30,33157,5,?,88.9,27,33157,5,?,79.7,35,32898,2,?,91.5,316,33664,0,1,2,0,0,107.0,136,33155,3,?,-1,?,84.4,208.69.33.13,36692,OPENDNS_LLC,90.1,208.69.33.21,36692,OPENDNS_LLC,0
4283,11.8,84.245.27.185,25596,CAMBRIUM_IT_SERVICES_BV,6,3,5.9,3257,GTT_COMMUNICATIONS_INC,62.8,74,33152,0,2607:f740:d::f77,54.1,46,1,31.13.91.36,111.7,46,33152,0,54.2,31,33157,5,?,53.9,30,33157,5,?,66.8,27,33157,5,?,55.9,35,32898,2,?,62.1,316,33664,0,1,2,0,0,117.3,136,33155,3,?,-1,?,56.0,208.69.35.19,36692,OPENDNS_LLC,85.8,208.69.33.17,36692,OPENDNS_LLC,0
4464,28.3,210.54.158.73,133124,SPARK_VENTURES,8,1,-1.0,-1,?,81.5,74,33152,0,2607:f740:d::f77,76.2,46,1,157.240.8.35,150.0,46,33152,0,77.9,31,33157,5,?,89.5,30,33157,5,?,89.8,27,33157,5,?,79.2,51,32896,0,69.252.80.75,83.7,444,33664,0,1,2,0,0,444.7,136,33155,3,?,-1,?,81.0,67.215.83.19,36692,OPENDNS_LLC,412.7,67.215.83.17,36692,OPENDNS_LLC,0
6237,5.8,213.136.12.209,12859,BIT_BV,4,3,2.1,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,2.2,74,33152,0,2607:f740:d::f77,2.4,46,1,31.13.91.36,4.4,46,33152,0,2.1,31,33157,5,?,2.2,30,33157,5,?,2.4,27,33157,5,?,2.3,51,32896,0,69.252.80.75,2.2,316,33664,0,1,2,0,0,17.3,136,33155,3,?,-1,?,2.2,208.69.35.19,36692,OPENDNS_LLC,427.3,208.69.34.12,36692,OPENDNS_LLC,0
10243,150.3,41.221.32.130,37084,SIMBANET_T_LTD,12,4,151.2,2914,NTT_AMERICA_INC,152.0,74,33152,0,2607:f740:d::f77,152.0,46,1,157.240.1.35,304.3,46,33152,0,152.1,31,33157,5,?,151.8,30,33157,5,?,152.2,27,33157,5,?,152.3,35,32898,2,?,152.2,444,33664,0,1,2,0,0,167.9,137,33155,3,?,-1,?,152.0,208.69.34.16,36692,OPENDNS_LLC,161.0,208.69.34.13,36692,OPENDNS_LLC,0
11528,1.5,204.2.134.10,2914,NTT_AMERICA_INC,5,2,1.6,2914,NTT_AMERICA_INC,2.5,74,33152,0,2607:f740:d::f77,3.0,46,1,31.13.77.36,4.7,46,33152,0,3.0,31,33157,5,?,2.3,30,33157,5,?,3.2,27,33157,5,?,2.5,35,32898,2,?,3.3,316,33664,0,1,2,0,0,24.5,137,33155,3,?,-1,?,3.1,208.67.219.15,36692,OPENDNS_LLC,216.9,208.67.219.21,36692,OPENDNS_LLC,0
12677,17.2,73.151.23.17,7922,COMCAST_CABLE_COMMUNICATIONS_LLC,6,3,16.8,3356,LEVEL_3_COMMUNICATIONS_INC,175.3,74,33152,0,2607:f740:d::f77,17.5,46,1,31.13.77.36,35.2,46,33152,0,18.1,31,33157,5,?,18.0,30,33157,5,?,18.5,27,33157,5,?,18.1,35,32898,2,?,18.2,316,33664,0,1,2,0,0,40.3,137,33155,3,?,-1,?,18.5,208.67.219.21,36692,OPENDNS_LLC,176.7,208.67.219.15,36692,OPENDNS_LLC,0
12755,11.3,82.1.136.125,5089,VIRGIN_MEDIA_LIMITED,5,3,11.6,5089,VIRGIN_MEDIA_LIMITED,14.0,74,33152,0,2607:f740:d::f77,13.2,46,1,157.240.1.35,34.6,46,33152,0,14.3,31,33157,5,?,16.3,30,33157,5,?,17.6,27,33157,5,?,22.8,35,32898,2,?,14.4,316,33664,0,1,2,0,0,31.2,137,33155,3,?,-1,?,14.1,208.69.34.19,36692,OPENDNS_LLC,26.3,208.69.34.16,36692,OPENDNS_LLC,0
